,year,region,adm,hoursPerWeek_1,salaryPer40Hours_2
41,2017,Bahia,Pública,33.76522,4252.545
44,2017,Ceará,Estadual,29.07996,3069.217
47,2017,Ceará,Privada,31.5609,2034.914
50,2017,Ceará,Pública,29.60694,3389.307
53,2017,Distrito Federal,Estadual,35.06512,7849.158
56,2017,Distrito Federal,Privada,27.23468,5206.483
59,2017,Distrito Federal,Pública,35.15988,7938.489
62,2017,Espírito Santo,Estadual,29.12126,3559.741
65,2017,Espírito Santo,Privada,29.44006,3365.238
68,2017,Espírito Santo,Pública,26.60442,4253.733
71,2017,Goiás,Estadual,39.27672,3831.865
74,2017,Goiás,Privada,30.76458,2871.229
77,2017,Goiás,Pública,35.72841,4662.503
80,2017,Maranhão,Estadual,24.46557,6101.116
83,2017,Maranhão,Privada,31.53298,2192.321
86,2017,Maranhão,Pública,28.99147,3913.535
89,2017,Minas Gerais,Estadual,24.29308,4678.345
92,2017,Minas Gerais,Privada,27.83921,3663.689
95,2017,Minas Gerais,Pública,25.47116,4419.748
98,2017,Mato Grosso do Sul,Estadual,20.68332,7475.339
101,2017,Mato Grosso do Sul,Privada,28.69231,3275.058
104,2017,Mato Grosso do Sul,Pública,22.74186,5906.214
107,2017,Mato Grosso,Estadual,39.99868,3183.859
110,2017,Mato Grosso,Privada,27.57291,3597.389
113,2017,Mato Grosso,Pública,35.35252,3801.233
116,2017,Pará,Estadual,20.53781,10909.7
119,2017,Pará,Privada,28.3238,2842.978
122,2017,Pará,Pública,29.25026,5335.048
125,2017,Paraíba,Estadual,30.00933,2533.068
128,2017,Paraíba,Privada,26.12039,2176.379
131,2017,Paraíba,Pública,34.80514,2876.952
134,2017,Pernambuco,Estadual,36.50123,2997.575
137,2017,Pernambuco,Privada,30.16063,2314.499
140,2017,Pernambuco,Pública,35.9515,3296.853
143,2017,Piauí,Estadual,32.03293,3220.805
146,2017,Piauí,Privada,27.92663,2602.04
149,2017,Piauí,Pública,34.65464,3282.067
152,2017,Paraná,Estadual,22.68374,6968.915
155,2017,Paraná,Privada,28.42498,3227.298
158,2017,Paraná,Pública,24.54554,5410.372
161,2017,Rio de Janeiro,Estadual,25.51069,3680.87
164,2017,Rio de Janeiro,Privada,29.89408,2928.573
167,2017,Rio de Janeiro,Pública,29.39534,4581.894
170,2017,Rio Grande do Norte,Estadual,30.26968,4102.03
173,2017,Rio Grande do Norte,Privada,32.66321,1909.05
